World_port_index_number,Region_index,Main_port_name,Wpi_country_code,Latitude_degrees,Latitude_minutes,Latitude_hemisphere,lat,Longitude_degrees,Longitude_minutes,Longitude_hemisphere,lon,Port_Charges,Harbor_type_code,Channel_depth,Publication,Chart,Harbor_size_code,Shelter_afforded_code,Entrance_restriction_tide,Entrance_restriction_swell,Entrance_restriction_ice,Entrance_restriction_other,Overhead_limits,Anchorage_depth,Cargo_pier_depth,Oil_terminal_depth,Tide,Maxsize_vessel_code,Good_holding_ground,Turning_area,First_port_of_entry,Us_representative,Eta_message,Pilotage_compulsory,Pilotage_available,Pilotage_local_assist,Pilotage_advisable,Tugs_salvage,Tugs_assist,Quarantine_pratique,Quarantine_deratt_cert,Quarantine_other,Communications_telephone,Communications_telegraph,Communications_radio,Communications_radio_tel,Communications_air,Communications_rail,Load_offload_wharves,Load_offload_anchor,Load_offload_med_moor,Load_offload_beach_moor,Load_offload_ice_moor,Medical_facilities,Garbage_disposal,Degauss,Dirty_ballast,Cranes_fixed,Cranes_mobile,Cranes_floating,Lifts_100_tons_plus,Lifts_50_100_tons,Lifts_25_49_tons,Lifts_0_24_tons,Services_longshore,Services_elect,Services_steam,Services_navig_equip,Services_elect_repair,Supplies_provisions,Supplies_water,Supplies_fuel_oil,Supplies_diesel_oil,Supplies_deck,Supplies_engine,Repair_code,Drydock,Railway
70,ICELAND  WEST COAST,KEFLAVIK,ICELAND,64,0,N,64,22,33,W,-22.55,15000,Open Roadstead,23.2m - OVER,181,38604,V,F,N,N,Y,Y,,A,H,,5,,Y,Y,N,N,Y,Y,Y,,,N,Y,Y,,,Y,Y,Y,Y,Y,,Y,Y,,,,Y,,N,N,,Y,,,,,Y,Y,,,,,Y,Y,Y,Y,Y,Y,C,,S
75,ICELAND  WEST COAST,STRAUMSVIK,ICELAND,64,3,N,64.05,22,3,W,-22.05,15000,Coastal Natural,,181,38604,V,F,N,N,,Y,N,A,,,0,L,Y,Y,N,N,N,,Y,,,,,,,,Y,,,,Y,,Y,Y,,,,Y,,,N,,,,,,,,,,,,,,,,,,,,,
80,ICELAND  WEST COAST,HAFNARFJORDUR,ICELAND,64,4,N,64.07,21,57,W,-21.95,15000,Coastal Natural,7.1m - 9.1m,181,38604,V,F,N,Y,N,N,,J,L,J,4,L,Y,,Y,,Y,Y,Y,,,,Y,Y,,,Y,Y,Y,Y,Y,,Y,Y,,,,Y,Y,,Y,,Y,,,,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,B,,M
90,ICELAND  WEST COAST,SKERJAFJORDUR,ICELAND,64,9,N,64.15,22,1,W,-22.02,15000,Coastal Natural,6.4m - 7.6m,181,38603,V,G,N,N,N,Y,,M,P,M,4,L,Y,,,,,Y,Y,,,,Y,Y,,,Y,Y,Y,Y,Y,,Y,Y,,,,Y,,N,N,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,C,,
100,ICELAND  WEST COAST,REYKJAVIK,ICELAND,64,9,N,64.15,21,56,W,-21.93,15000,Coastal Breakwater,7.1m - 9.1m,181,38603,M,G,Y,N,N,Y,,G,L,H,4,L,Y,Y,Y,Y,Y,Y,Y,,Y,N,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,,,,,Y,Y,,Y,,Y,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,B,L,L
105,ICELAND  WEST COAST,GRUNDARTANGI,ICELAND,64,16,N,64.27,22,0,W,-22,15000,Coastal Breakwater,12.5m - 13.7m,181,38606,M,G,N,N,N,N,,F,H,,5,L,Y,,N,N,N,Y,Y,,,,Y,,,,Y,Y,Y,,Y,,Y,,,,,,Y,N,Y,,Y,,,,,,Y,,,,,Y,Y,Y,Y,,,C,,
160,ICELAND  WEST COAST,BILDUDALUR,ICELAND,65,41,N,65.68,23,36,W,-23.6,15000,Coastal Natural,4.9m - 6.1m,181,38030,V,F,N,Y,Y,Y,N,J,N,,3,,Y,,N,N,N,,,,,,,,,,Y,,,,,,Y,,,,,Y,,N,N,,,,,,,Y,,Y,,,,Y,Y,N,N,N,N,C,,
170,ICELAND  WEST COAST,THINGEYRI,ICELAND,65,53,N,65.88,23,29,W,-23.48,15000,Coastal Natural,6.4m - 7.6m,181,38030,V,E,N,N,Y,Y,N,C,N,,3,,Y,,N,N,N,,,,,,,Y,,,Y,,,,,,Y,,,,,Y,,N,N,,,,,,,Y,,Y,,,,Y,Y,N,N,N,N,C,,
185,ICELAND  WEST COAST,BOLUNGAVIK,ICELAND,66,10,N,66.17,23,14,W,-23.23,15000,Coastal Breakwater,23.2m - OVER,181,38690,V,F,N,,Y,,,,M,,0,L,,,N,N,N,,,,,,,,,,Y,,,,Y,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,
190,ICELAND  WEST COAST,ISAFJORDUR,ICELAND,66,4,N,66.07,23,7,W,-23.12,15000,Coastal Natural,7.1m - 9.1m,181,38030,V,G,N,N,Y,,,H,L,M,2,L,Y,Y,Y,N,Y,Y,Y,,,N,Y,Y,Y,,N,Y,Y,Y,Y,,Y,,,,,Y,Y,,Y,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,B,,M
230,ICELAND  NORTH COAST,BLONDUOS,ICELAND,65,40,N,65.67,20,18,W,-20.3,15000,Open Roadstead,23.2m - OVER,181,38683,V,P,N,N,N,N,N,A,N,,3,,Y,,N,N,N,,,,,,,,,,Y,,,,,,Y,,,,,Y,,N,N,,,,,,,Y,,,,,,Y,Y,,,,,,,
240,ICELAND  NORTH COAST,SKAGASTROND,ICELAND,65,50,N,65.83,20,19,W,-20.32,15000,Coastal Natural,23.2m - OVER,181,38683,V,G,Y,N,N,Y,,H,O,,2,,,,N,N,N,,,,,N,N,,,,,,,,Y,,Y,,,,,Y,,N,N,,,,,,,,,,,,,,,Y,Y,Y,N,C,,S
